charge_point_location,site_category,latitude,longitude
Adams Recreation Ground,Building-supplied Charger,54.49063232,-3.601799011
"Daltongate car park, Ulverston",Other Chargepoint,54.19599,-3.097386
"Peppercorn Lane car park, Kendal",Other Chargepoint,54.323103,-2.746046
Walney School,Other Chargepoint,54.105196,-3.258839
"Botcherby Community Centre, Carlisle",Other Chargepoint,54.894109,-2.905426
Boot & Shoe,Other Chargepoint,54.027518,-2.794888
William Loveless Hall,Other Chargepoint,51.857785,0.959465
Blain House (Eden Housing Association),Other Chargepoint,54.658443,-2.745488
Haven Cottage B&B,Building-supplied Charger,54.434813,-2.966706
"Cresswell Road, Belway Homes",Other Chargepoint,51.450523,0.297357
"Milbourne Street/St John's Street car park, Carlisle",Other Chargepoint,54.892965,-2.942916
"Christie Avenue, Morecambe",Other Chargepoint,54.065512,-2.847786
Yealands Village Hall,V2X Chargepoint,54.170766,-2.761917
Mellor Village Hall,Other Chargepoint,53.773254,-2.526131
"The Anglers Rest, Bamford, High Peak",Other Chargepoint,53.350032,-1.688919
Arnside Educational Institute,Building-supplied Charger,54.20154995,-2.833764553
"Petterill Bank Community Centre, Carlisle",Other Chargepoint,54.873107,-2.907307
"Kingsway Car Park, Dalston, Carlisle",Other Chargepoint,54.842311,-2.972648
"West Point House, Walney",Other Chargepoint,54.11639,-3.261249
"Stanwix Car Park, Carlisle",Other Chargepoint,54.904326,-2.9368
Weardale Community Transport,V2X Chargepoint,54.72650373,-1.881762743
"Broad Street, Windermere",Other Chargepoint,54.377216,-2.906128
"Beetham Road Car Park, Milnthorpe",Other Chargepoint,54.226001,-2.773386
"Shap Public Car Park, Main Street",Other Chargepoint,54.5293,-2.675925
Williamson Park Car Park,Other Chargepoint,54.042812,-2.783877
Langdale Leisure Ltd,Other Chargepoint,54.436387,-3.040393
"Alston Community Gym, Tyne Willows",V2X Chargepoint,54.813375,-2.442535
"Cedar Road Car Park, Marsh, Lancaster",V2X Chargepoint,54.050572,-2.814106
Kendal College,Other Chargepoint,54.317726,-2.747234
"Union Lane car park, Brampton",Other Chargepoint,54.943857,-2.735075
Stanhope Masonic Hall,V2X Chargepoint,54.745307,-2.003006
